Date,Close,High,Low,Open,Volume,Adj Close,Daily_Return,MA_20,MA_50,MA_200,Volatility_20,Year,Month,Day_of_Week,Quarter,RSI_14,BB_Upper,BB_Lower,BB_Width,BB_Position,Ann_Volatility,Daily_Range_Pct,Drawdown_Pct,Cum_Return_Pct,YTD_Start_Price,YTD_Return_Pct,Month_Key,Month_Start_Price,Monthly_Return_Pct,Vol_MA_20,Volume_Ratio,MA_Signal,RSI_Signal,BB_Signal,Return_7D,Return_30D,Return_90D,Return_1Y,Data_Type
2016-01-29,106.9499969482422,107.0,106.26000213623048,106.61000061035156,8098700,106.9499969482422,,,,,,2016,1,4,1,,,,,,,0.6919101307947063,0.0,0.0,106.9499969482422,0.0,2016-01,106.9499969482422,0.0,,,Sin datos,Sin datos,Sin datos,,,,,Histórico
2016-02-01,108.0500030517578,108.1500015258789,107.52999877929688,107.54000091552734,10471800,108.0500030517578,1.028523735300313,,,,,2016,2,0,1,,,,,,,0.5738109477748365,0.0,1.0285237353002907,106.9499969482422,1.0285237353002907,2016-02,108.0500030517578,0.0,,,Sin datos,Sin datos,Sin datos,,,,,Histórico
2016-02-02,108.08999633789062,108.18000030517578,107.3499984741211,107.91999816894533,6656000,108.08999633789062,0.0370136834828782,,,,,2016,2,1,1,,,,,,,0.7678803396940562,0.0,1.0659181133030993,106.9499969482422,1.0659181133030993,2016-02,108.0500030517578,0.03701368348287826,,,Sin datos,Sin datos,Sin datos,,,,,Histórico
2016-02-03,109.25,109.58000183105467,107.9000015258789,107.91000366210938,15785200,109.25,1.0731831819877025,,,,,2016,2,2,1,,,,,,,1.5377577164080247,0.0,2.1505405492165286,106.9499969482422,2.1505405492165286,2016-02,108.0500030517578,1.1105940900967726,,,Sin datos,Sin datos,Sin datos,,,,,Histórico
2016-02-04,110.56999969482422,110.6999969482422,109.91999816894533,110.4499969482422,13213700,110.56999969482422,1.2082377069329242,,,,,2016,2,3,1,,,,,,,0.7054343686801934,0.0,3.3847618979679694,106.9499969482422,3.3847618979679694,2016-02,108.0500030517578,2.3322504135972144,,,Sin datos,Sin datos,Sin datos,,,,,Histórico
2016-02-05,112.31999969482422,112.3499984741211,109.58000183105467,109.79000091552734,14777300,112.31999969482422,1.5827077912906162,,,,,2016,2,4,1,,,,,,,2.466165109145797,0.0,5.021040579534386,106.9499969482422,5.021040579534386,2016-02,108.0500030517578,3.9518709138962382,,,Sin datos,Sin datos,Sin datos,,,,,Histórico
2016-02-08,113.83000183105467,114.87000274658205,113.38999938964844,113.66999816894533,28341200,113.83000183105467,1.3443751249405,,,,,2016,2,0,1,,,,,,,1.3001874137981775,0.0,6.4329173250393,106.9499969482422,6.4329173250393,2016-02,108.0500030517578,5.34937400837292,,,Sin datos,Sin datos,Sin datos,,,,,Histórico
2016-02-09,113.58000183105467,114.69000244140624,113.5500030517578,114.43000030517578,18156700,113.58000183105467,-0.2196257541759894,,,,,2016,2,1,1,,,,,,,1.0036972805689306,-0.21962575417599262,6.199163227672666,106.9499969482422,6.199163227672666,2016-02,108.0500030517578,5.117999651187333,,,Sin datos,Sin datos,Sin datos,6.199163227672666,,,,Histórico
2016-02-10,114.45999908447266,114.5199966430664,112.9800033569336,113.91999816894533,13311100,114.45999908447266,0.7747818623272451,,,,,2016,2,2,1,,,,,,,1.3454423365810808,0.0,7.0219750823039995,106.9499969482422,7.0219750823039995,2016-02,108.0500030517578,5.932434846525969,,,Sin datos,Sin datos,Sin datos,5.932434846525969,,,,Histórico
2016-02-11,119.05999755859376,120.83999633789062,117.7699966430664,118.58999633789062,49139000,119.05999755859376,4.01886992042193,,,,,2016,2,3,1,,,,,,,2.5785316292429457,0.0,11.323049047128176,106.9499969482422,11.323049047128176,2016-02,108.0500030517578,10.18972160654359,,,Sin datos,Sin datos,Sin datos,10.148951422304409,,,,Histórico
2016-02-12,118.36000061035156,118.73999786376952,117.87999725341795,118.12000274658205,16981200,118.36000061035156,-0.5879363032051943,,,,,2016,2,4,1,,,,,,,0.7265973351780706,-0.5879363032052035,10.668540427945183,106.9499969482422,10.668540427945183,2016-02,108.0500030517578,9.54187623081797,,,Sin datos,Sin datos,Sin datos,8.338673327552915,,,,Histórico
2016-02-16,114.7699966430664,116.30999755859376,114.73999786376952,116.0,14601700,114.7699966430664,-3.0331226332987904,,,,,2016,2,1,1,,,,,,,1.3679530720096917,-3.6032261074220937,7.31182788028375,106.9499969482422,7.31182788028375,2016-02,108.0500030517578,6.219336789920882,,,Sin datos,Sin datos,Sin datos,3.7984959390741313,,,,Histórico
2016-02-17,115.4800033569336,116.06999969482422,114.88999938964844,115.47000122070312,10582400,115.4800033569336,0.618634429410414,,,,,2016,2,2,1,,,,,,,1.0218221950761073,-3.0068824752816954,7.975695794380844,106.9499969482422,7.975695794380844,2016-02,108.0500030517578,6.876446177994744,,,Sin datos,Sin datos,Sin datos,2.813393581459378,,,,Histórico
2016-02-18,118.29000091552734,118.5999984741211,115.29000091552734,115.3000030517578,13586500,118.29000091552734,2.433319602449635,,,,,2016,2,3,1,,,,,,,2.7982057088303423,-0.6467299335257226,10.603089566026892,106.9499969482422,10.603089566026892,2016-02,108.0500030517578,9.477091693245399,,,Sin datos,Sin datos,Sin datos,3.9181226502061905,,,,Histórico
2016-02-19,117.58000183105467,117.97000122070312,117.0999984741211,117.26000213623048,15192000,117.58000183105467,-0.6002190201855551,,,,,2016,2,4,1,75.1538154907363,,,,,,0.7399240798040626,-1.2430671576410297,9.939228785538724,106.9499969482422,9.939228785538724,2016-02,108.0500030517578,8.819989366156555,,,Sin datos,Sobrecompra,Sin datos,3.5217467296309923,,,,Histórico
2016-02-22,115.48999786376952,116.19000244140624,115.41000366210938,115.44000244140624,10677800,115.48999786376952,-1.777516528948675,,,,,2016,2,0,1,66.81734604025156,,,,,,0.6753821055715467,-2.9984879623967067,7.985040822077072,106.9499969482422,7.985040822077072,2016-02,108.0500030517578,6.885696068372926,,,Sin datos,Neutral,Sin datos,0.8998766272370062,,,,Histórico
2016-02-23,117.22000122070312,117.41999816894533,116.5199966430664,116.68000030517578,9033400,117.22000122070312,1.4979681261872324,,,,,2016,2,1,1,69.17261648038047,,,,,,0.7677883607801603,-1.5454362301537172,9.602622314642083,106.9499969482422,9.602622314642083,2016-02,108.0500030517578,8.486809726930545,,,Sin datos,Neutral,Sin datos,-1.5454362301537183,,,,Histórico
2016-02-24,117.61000061035156,119.86000061035156,117.3499984741211,119.0,17938800,117.61000061035156,0.3327072049028157,,,,,2016,2,2,1,68.14235570714257,,,,,,2.1341740695557383,-1.21787080293581,9.967278135845303,106.9499969482422,9.967278135845303,2016-02,108.0500030517578,8.847753159261229,,,Sin datos,Neutral,Sin datos,-0.6336600170094964,,,,Histórico
2016-02-25,117.91999816894533,118.91000366210938,117.54000091552734,117.62000274658205,12500300,117.91999816894533,0.2635809514369258,,,,,2016,2,3,1,66.68178923275602,,,,,,1.1618069605286228,-0.9574999269485136,10.257130933825076,106.9499969482422,10.257130933825076,2016-02,108.0500030517578,9.134655102656165,,,Sin datos,Neutral,Sin datos,2.7446210839191743,,,,Histórico
2016-02-26,117.11000061035156,117.72000122070312,115.86000061035156,117.43000030517578,12505100,117.11000061035156,-0.6869043174790868,114.29949989318848,,,,2016,2,4,1,61.356092969346,,,,,,1.5882508758070604,-1.6378271360895476,9.499769941112035,106.9499969482422,9.499769941112035,2016-02,108.0500030517578,8.385004444890075,15577495.0,0.8027670687745366,Sin datos,Neutral,Sin datos,1.4114974073735187,,,,Histórico
2016-02-29,118.63999938964844,118.6999969482422,117.52999877929688,117.58999633789062,11517500,118.63999938964844,1.3064629590324062,114.8840000152588,,,1.506491664449363,2016,2,0,1,61.39269876722575,117.89698334415753,111.87101668636008,6.025966657797454,1.1233023824533546,23.91481377794868,0.986175130617382,-0.35276178192312685,10.930343875618377,106.9499969482422,10.930343875618377,2016-02,108.0500030517578,9.801014381108208,15748435.0,0.7313425111765074,Sin datos,Neutral,Precio sobre banda superior,0.2958817071706976,,,,Histórico
2016-03-01,117.7699966430664,119.11000061035156,117.33999633789062,118.73999786376952,14139300,117.7699966430664,-0.7333131752004562,115.36999969482422,,,1.5272215306737238,2016,3,1,1,59.64103581391019,118.42444275617166,112.31555663347677,6.108886122694884,0.8928698129313715,24.243890202396454,1.5029331093770941,-1.0834881084996675,10.116877048683293,106.9499969482422,10.116877048683293,2016-03,117.7699966430664,0.0,15931810.0,0.8874886155433689,Sin datos,Neutral,Cerca banda superior,0.1615876926798654,10.116877048683293,,,Histórico
2016-03-02,118.68000030517578,118.97000122070312,118.06999969482422,118.33999633789062,8903000,118.68000030517578,0.7726956678680841,115.89949989318848,,,1.525796070496959,2016,3,2,1,59.6966896296379,118.9510920341824,112.84790775219456,6.103184281987836,0.9555819197846148,24.22126172360718,0.7583430431114146,-0.3191645063078155,10.96774538723011,106.9499969482422,10.96774538723011,2016-03,117.7699966430664,0.7726956678680841,16044160.0,0.5549059595516375,Sin datos,Neutral,Cerca banda superior,2.7621460736098946,9.838035125576106,,,Histórico
2016-03-03,120.7300033569336,121.3000030517578,118.80999755859376,118.86000061035156,18724100,120.7300033569336,1.7273365743903035,116.47350006103515,,,1.5460702767011838,2016,3,3,1,54.34670627647294,119.56564061443753,113.38135950763278,6.184281106804747,1.1882777840119338,24.54310476948091,2.062457901042568,0.0,12.884531839080026,106.9499969482422,12.884531839080026,2016-03,117.7699966430664,2.5133792971381963,16191105.0,1.156443615182534,Sin datos,Neutral,Precio sobre banda superior,2.994371352736813,11.693965627984815,,,Histórico
2016-03-04,120.54000091552734,122.37000274658205,120.22000122070312,121.12999725341795,16261100,120.54000091552734,-0.1573779807199304,116.97200012207033,,,1.5438642991340097,2016,3,4,1,55.82887163822508,120.05972872033834,113.88427152380231,6.17545719653603,1.0777711155472665,24.50808596123773,1.783641537704658,-0.1573779807199335,12.706876442326532,106.9499969482422,12.706876442326532,2016-03,117.7699966430664,2.3520458108325926,16343475.0,0.9949597622292689,Sin datos,Neutral,Precio sobre banda superior,2.491285001250043,10.334096947851123,,,Histórico
